unnamed0,order,pID,msSubclass,msZoning,lotFrontage,lotArea,street,alley,lotShape,landContour,utilities,lotConfig,landSlope,neighborhood,condition1,condition2,bldgType,houseStyle,overallQual,overallCond,yearBuilt,yearRemodAdd,roofStyle,roofMatl,exterior1st,exterior2nd,masVnrType,masVnrArea,exterQual,exterCond,foundation,bsmtQual,bsmtCond,bsmtExposure,bsmtfinType1,bsmtfinSf1,bsmtfinType2,bsmtfinSf2,bsmtUnfSf,totalBsmtSf,heating,heatingQc,centralAir,electrical,1stFlrSf,2ndFlrSf,lowQualFinSf,grLivArea,bsmtFullBath,bsmtHalfBath,fullBath,halfBath,bedroomAbvgr,kitchenAbvgr,kitchenQual,totrmsAbvgrd,functional,fireplaces,fireplaceQu,garageType,garageYrBlt,garageFinish,garageCars,garageArea,garageQual,garageCond,pavedDrive,woodDeckSf,openPorchSf,enclosedPorch,3ssnPorch,screenPorch,poolQc,fence,miscFeature,miscVal,moSold,yrSold,saleType,saleCondition,salePrice,houseAge,yearsSinceRemod,isRemodeled,totalSf,totalBathrooms,totalPorchSf,qualityAreaInt,isPeakSeason,hasPool,hasFireplace,hasGarage
899,900,908275040,4.51085950651685,RL,4.189654742026425,9.298992069570746,Pave,None,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,Duplex,1Story,5,5,1959,1959,Hip,CompShg,VinylSd,VinylSd,BrkFace,4.31748811353631,3,3,CBlock,3,3,1,Unf,0.0,Unf,0.0,7.425953657077541,1678.0,GasA,3,Y,SBrkr,7.425953657077541,0.0,0.0,7.425953657077541,0.0,0.0,2,0,6,1.0986122886681098,3,10,7,0,None,None,0.0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,8,2009,WD ,Normal,11.694421681264394,50,50,0,1685.4259536570776,2.0,0.0,37.129768285387705,0,0,0,0
900,901,908275110,3.044522437723423,RL,4.2626798770413155,9.373139262281274,Pave,None,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,HdBoard,HdBoard,BrkFace,5.560681631015528,3,3,CBlock,3,3,1,Rec,6.304448802421981,Unf,0.0,6.405228458030842,1150.0,GasA,5,Y,SBrkr,7.353081920515432,0.0,0.0,7.353081920515432,0.0,0.0,1,0,2,0.6931471805599453,3,7,6,1,TA,Attchd,7.579167967396076,1,1.0,313.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,5,2009,WD ,Normal,11.547336553476635,53,53,0,1157.3530819205155,1.0,0.0,36.765409602577165,1,0,1,1
901,902,908276150,3.044522437723423,RL,4.189654742026425,9.096835671179361,Pave,None,2,Lvl,AllPub,Corner,2,Edwards,Norm,Norm,1Fam,1Story,4,3,1956,1956,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,1,Unf,0.0,Unf,0.0,6.511745329644728,672.0,GasA,5,Y,FuseA,6.8679744089702925,0.0,0.0,6.8679744089702925,0.0,0.0,1,0,3,0.6931471805599453,3,5,7,0,None,Basment,7.579167967396076,1,1.0,288.0,3,3,2,4.174387269895637,0.0,0.0,0.0,5.081404364984463,0,3.0,None,0.0,10,2009,COD,Abnorml,11.626263078808801,53,53,0,678.8679744089703,1.0,5.081404364984463,27.47189763588117,0,0,0,1
902,903,909101010,3.9318256327243257,RL,4.219507705176107,9.42181611842271,Pave,Grvl,3,Lvl,AllPub,Corner,2,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,2,2,Unf,0.0,Unf,0.0,6.529418838262226,684.0,GasA,4,Y,SBrkr,6.529418838262226,6.240275845170769,0.0,7.087573705557973,0.0,0.0,1,0,3,0.6931471805599453,4,7,7,0,None,Detchd,7.603897968521881,1,2.0,528.0,3,3,2,0.0,3.8501476017100584,0.0,0.0,0.0,0,,Shed,6.68586094706836,8,2009,ConLI,Normal,11.608244735642321,89,9,1,691.0875737055579,1.0,3.8501476017100584,42.52544223334784,0,0,0,1
903,904,909101100,3.9318256327243257,RL,3.828641396489095,9.013473543740192,Pave,Grvl,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,Rec,6.440946540632921,Unf,0.0,4.553876891600541,720.0,GasA,5,Y,SBrkr,6.75110146893676,6.09807428216624,0.0,7.1693500166706,0.0,0.0,1,0,3,0.6931471805599453,3,6,7,2,Gd,Detchd,7.57095858316901,1,1.0,256.0,3,3,2,4.442651256490317,0.0,0.0,0.0,0.0,0,0.0,None,0.0,9,2009,WD ,Normal,11.711784520403112,68,59,1,727.1693500166706,1.0,0.0,35.846750083353,0,0,1,1
904,905,909101140,3.9318256327243257,RL,4.110873864173311,9.305559638557117,Pave,Grvl,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,LwQ,6.013715156042802,BLQ,6.042632833682381,5.056245805348308,984.0,GasA,5,Y,SBrkr,6.892641641172089,6.431331081933479,0.0,7.380879035564116,0.0,0.0,2,0,3,0.6931471805599453,3,6,5,0,None,Detchd,7.589841512182657,1,2.0,660.0,3,3,2,0.0,4.23410650459726,0.0,0.0,0.0,0,0.0,None,0.0,7,2009,WD ,Normal,11.669937760751914,68,49,1,991.3808790355641,2.0,4.23410650459726,36.90439517782058,1,0,0,1
905,906,909129090,3.9318256327243257,RH,4.2626798770413155,8.748463629942055,Pave,Pave,3,Lvl,AllPub,Corner,2,SWISU,Norm,Norm,1Fam,1.5Fin,5,4,1938,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,4.48863636973214,3,3,PConc,3,2,1,LwQ,6.725033642166843,Unf,0.0,0.0,832.0,GasA,3,Y,SBrkr,6.725033642166843,6.07993319509559,0.0,7.1459844677143876,0.0,0.0,1,1,3,0.6931471805599453,3,7,7,2,Gd,Basment,7.569927655242652,1,1.0,250.0,3,3,2,0.0,0.0,4.02535169073515,0.0,0.0,0,0.0,None,0.0,7,2009,WD ,Abnorml,11.982935344196433,71,59,1,839.1459844677144,1.5,4.02535169073515,35.72992233857194,1,0,1,1
906,907,909129100,3.9318256327243257,RH,4.02535169073515,8.412054873292933,Pave,Pave,1,Bnk,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1932,2000,Gable,CompShg,VinylSd,Stucco,None,0.0,3,3,BrkTil,3,3,1,Rec,5.209486152841421,Unf,0.0,6.416732282512326,793.0,GasA,5,Y,SBrkr,6.744059186311348,6.511745329644728,0.0,7.327123292259293,0.0,0.0,1,0,3,0.6931471805599453,3,6,7,0,None,Detchd,7.585281078639126,1,1.0,281.0,3,3,2,0.0,0.0,4.04305126783455,0.0,0.0,0,0.0,None,0.0,7,2009,WD ,Abnorml,11.979391594635791,77,9,1,800.3271232922593,1.0,4.04305126783455,36.635616461296465,1,0,0,1
907,908,909175080,3.4339872044851463,RL,4.110873864173311,9.036106025364846,Pave,None,3,Bnk,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1Story,2,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,2,1,Rec,5.673323267171493,Unf,0.0,0.0,290.0,GasA,3,N,FuseF,6.0844994130751715,0.0,0.0,6.0844994130751715,0.0,0.0,1,0,1,0.6931471805599453,2,3,7,0,None,Detchd,7.565793282428515,1,1.0,246.0,3,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,1,2009,WD ,Normal,11.002116507732017,89,59,1,296.08449941307515,1.0,0.0,12.168998826150343,0,0,0,1
908,909,909178160,3.9318256327243257,RL,4.110873864173311,9.200391041122515,Pave,None,3,Lvl,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,6.658011045870748,778.0,GasA,3,Y,SBrkr,6.851184927493743,6.302618975744905,0.0,7.306531398939505,0.0,0.0,2,0,3,0.6931471805599453,3,7,7,1,Gd,Detchd,7.57095858316901,1,1.0,240.0,3,3,2,5.817111159963204,0.0,0.0,0.0,0.0,0,2.0,None,0.0,7,2009,WD ,Normal,11.845827048676645,69,59,1,785.3065313989395,2.0,0.0,43.83918839363703,1,0,1,1
909,910,909179020,4.330733340286331,RL,4.634728988229636,9.671807670199632,Pave,None,3,Lvl,AllPub,Corner,2,SWISU,Norm,Norm,1Fam,2.5Fin,7,3,1920,1970,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,BrkTil,3,3,1,GLQ,6.261491684321042,Unf,0.0,5.71042701737487,824.0,GasA,5,Y,SBrkr,7.431299675155903,6.906754778648554,5.986452005284438,8.03365842788615,1.0,0.0,2,1,5,0.6931471805599453,3,12,7,2,TA,Basment,7.58629630715272,3,2.0,672.0,3,3,2,4.919980925828125,4.1588830833596715,0.0,0.0,0.0,0,0.0,None,0.0,8,2009,WD ,Normal,12.190964083849375,89,39,1,832.0336584278862,3.5,4.1588830833596715,56.23560899520305,0,0,1,1
910,911,909250080,4.2626798770413155,RL,3.784189633918261,8.649623978596727,Pave,None,3,Bnk,AllPub,Inside,2,SWISU,Feedr,Norm,1Fam,2Story,6,6,1935,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,6.369900982828227,583.0,GasA,4,Y,FuseF,6.473890696352274,6.39024066706535,0.0,7.1252830915107115,0.0,0.0,1,1,3,0.6931471805599453,3,6,7,1,Gd,Detchd,7.563719668414366,1,1.0,180.0,2,3,2,5.799092654460526,4.574710978503383,0.0,0.0,0.0,0,0.0,None,0.0,3,2009,WD ,Normal,11.561725152903833,74,59,1,590.1252830915107,1.5,4.574710978503383,42.75169854906427,0,0,1,1
911,912,909250220,3.9318256327243257,RL,4.189654742026425,8.962519832949532,Pave,None,3,Lvl,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,BLQ,6.434546518787453,Unf,0.0,6.2166061010848646,1122.0,GasA,3,Y,SBrkr,7.192182058713246,6.483107351457199,0.0,7.591861714889934,1.0,0.0,2,0,4,0.6931471805599453,4,7,5,2,TA,Detchd,7.591861714889934,1,2.0,576.0,3,3,2,6.068425588244111,3.8066624897703196,0.0,0.0,0.0,0,3.0,None,0.0,12,2009,WD ,Normal,11.813037464800539,81,59,1,1129.59186171489,3.0,3.8066624897703196,30.367446859559735,0,0,1,1
912,913,909251050,3.4339872044851463,RL,4.174387269895637,9.056606272034141,Pave,None,3,Lvl,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1Story,6,8,1916,2000,Gable,CompShg,Stucco,Stucco,None,0.0,4,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,6.705639094860003,816.0,GasA,5,Y,SBrkr,7.117205503164344,0.0,0.0,7.117205503164344,0.0,0.0,1,0,3,0.6931471805599453,4,6,7,1,Gd,Detchd,7.558516743045645,1,2.0,440.0,3,3,2,0.0,0.0,5.198497031265826,0.0,0.0,0,0.0,None,0.0,10,2009,WD ,Normal,11.901590234400047,93,9,1,823.1172055031643,1.0,5.198497031265826,42.70323301898607,0,0,1,1
913,914,909251170,3.9318256327243257,RL,3.9512437185814275,8.72777821348305,Pave,None,3,Lvl,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,6,6,1925,1990,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,BLQ,5.579729825986222,Unf,0.0,6.569481420414296,976.0,GasA,5,Y,SBrkr,7.057036981697891,6.1070228877422545,0.0,7.3833681469923835,0.0,0.0,2,1,3,0.6931471805599453,4,7,7,1,Gd,Detchd,7.563200592358071,1,1.0,216.0,2,3,2,4.997212273764115,2.833213344056216,0.0,0.0,0.0,0,3.0,None,0.0,10,2009,WD ,Normal,11.831022768939789,84,19,1,983.3833681469924,2.5,2.833213344056216,44.300208881954305,0,0,1,1
914,915,909252020,4.2626798770413155,RL,4.110873864173311,8.881975184248867,Pave,None,3,Lvl,AllPub,Inside,2,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,PConc,4,4,1,ALQ,5.860786223465865,BLQ,5.351858133476067,0.0,560.0,GasA,5,Y,SBrkr,6.3561076606958915,6.329720905522696,0.0,7.035268599281097,1.0,0.0,1,0,3,0.6931471805599453,4,6,7,0,None,Detchd,7.586803535162581,2,2.0,576.0,3,3,2,5.54907608489522,0.0,0.0,0.0,0.0,0,3.0,None,0.0,4,2009,WD ,Normal,11.951186847493476,73,2,1,567.0352685992812,2.0,0.0,49.24688019496768,1,0,0,1
915,916,909253010,3.9318256327243257,RL,4.060443010546419,8.930494185292178,Pave,None,3,Bnk,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6,1928,1950,Gable,CompShg,BrkFace,Stone,None,0.0,3,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,6.799055862058796,896.0,GasA,4,Y,SBrkr,7.067319848653476,6.60934924316738,0.0,7.5569505720129,0.0,0.0,1,1,3,0.6931471805599453,3,9,7,1,TA,Detchd,7.5652752818989315,1,2.0,342.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,3,2009,WD ,Normal,12.083910661257521,81,59,1,903.5569505720129,1.5,0.0,45.341703432077395,0,0,1,1
916,917,909253180,3.9318256327243257,RL,3.970291913552122,8.747193183526933,Pave,None,3,Lvl,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,7,7,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,6.759255270663693,861.0,GasA,4,Y,SBrkr,6.777646593635117,6.398594934535208,0.0,7.298445101508147,0.0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,7,1,Gd,Detchd,7.564757012905729,1,1.0,216.0,3,3,2,0.0,3.9318256327243257,0.0,0.0,0.0,0,0.0,None,0.0,8,2009,WD ,Normal,11.884495917930655,81,59,1,868.2984451015082,2.3465735902799727,3.9318256327243257,51.089115710557024,0,0,1,1
917,918,909254010,4.2626798770413155,RL,3.9889840465642745,8.87570644462861,Pave,None,3,Lvl,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,8,1918,1990,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,2,2,Unf,0.0,Unf,0.0,6.398594934535208,600.0,GasA,5,Y,SBrkr,6.444131256700441,6.398594934535208,0.0,7.113956109566034,0.0,0.0,1,0,3,0.6931471805599453,3,6,7,1,Gd,Detchd,7.5595594960077,1,1.0,215.0,2,3,2,0.0,4.736198448394496,0.0,0.0,5.278114659230517,0,3.0,None,0.0,5,2009,WD ,Normal,11.827743504053695,91,19,1,607.1139561095661,1.0,10.014313107625012,49.79769276696224,1,0,1,1
918,919,909257050,4.2626798770413155,RL,3.9889840465642745,9.298259670014065,Pave,None,3,Lvl,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,9,1926,2004,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,4,3,1,Unf,0.0,Unf,0.0,7.152268856032539,1276.0,GasA,5,Y,SBrkr,7.152268856032539,6.690842277418564,0.0,7.640603826393634,0.0,0.0,1,1,3,0.6931471805599453,4,9,7,2,Gd,Detchd,7.563719668414366,1,1.0,282.0,3,3,2,0.0,0.0,0.0,0.0,4.983606621708336,0,3.0,None,0.0,6,2009,WD ,Normal,12.36308066783498,83,5,1,1283.6406038263935,1.5,4.983606621708336,53.484226784755435,1,0,1,1
919,920,909275080,3.9318256327243257,RL,4.110873864173311,9.523763287920113,Pave,None,3,HLS,AllPub,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,ALQ,6.591673732008658,Unf,0.0,4.727387818712341,840.0,GasA,5,Y,SBrkr,6.734591659972948,6.590301048196686,0.0,7.357556200910353,1.0,0.0,1,1,2,0.6931471805599453,3,6,5,2,TA,Detchd,7.581719640125308,1,2.0,440.0,3,3,2,0.0,3.091042453358316,5.017279836814924,0.0,0.0,0,,None,0.0,2,2009,WD ,Normal,12.230770136157428,69,59,1,847.3575562009104,2.5,8.108322290173241,36.78778100455177,0,0,1,1
920,921,909276110,4.2626798770413155,RL,4.2626798770413155,8.922791623969637,Pave,None,2,Bnk,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,6,7,1942,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,BLQ,6.306275286948016,Unf,0.0,5.41610040220442,771.0,GasA,2,Y,SBrkr,6.625392368007956,6.60934924316738,0.0,7.3098814858247865,0.0,0.0,1,0,3,0.6931471805599453,4,7,7,2,Gd,Attchd,7.57198844937744,1,1.0,213.0,3,3,1,0.0,0.0,0.0,0.0,5.41610040220442,0,0.0,None,0.0,11,2009,WD ,Normal,12.086731521684555,67,59,1,778.3098814858248,1.0,5.41610040220442,43.85928891494872,0,0,1,1
921,922,909276200,3.9318256327243257,RL,4.875197323201151,9.169622538697624,Pave,None,2,HLS,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,3,2,1,Rec,6.061456918928017,Unf,0.0,5.707110264748875,728.0,GasA,5,Y,SBrkr,6.884486652042782,5.808142489980444,0.0,7.1770187659099,1.0,0.0,1,1,2,0.6931471805599453,3,7,5,2,TA,Detchd,7.57095858316901,1,1.0,256.0,3,3,2,0.0,4.2626798770413155,0.0,0.0,0.0,0,0.0,None,0.0,6,2009,WD ,Normal,11.982935344196433,69,59,1,735.1770187659099,2.5,4.2626798770413155,35.885093829549504,1,0,1,1
922,923,909277090,3.044522437723423,RL,4.394449154672439,9.59430941973946,Pave,Grvl,2,HLS,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1Story,5,4,1960,1960,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,Rec,6.677083461247136,Unf,0.0,6.175867270105761,1273.0,GasA,5,Y,SBrkr,7.149916836132109,0.0,0.0,7.149916836132109,0.0,0.0,1,0,2,0.6931471805599453,3,5,7,0,None,Attchd,7.581209826196346,1,1.0,307.0,3,3,2,6.182084906716632,0.0,0.0,0.0,4.7535901911063645,0,3.0,None,0.0,6,2009,WD ,Normal,11.951186847493476,49,49,0,1280.1499168361322,1.0,4.7535901911063645,35.74958418066054,1,0,0,1
923,924,909277100,3.4339872044851463,RL,4.394449154672439,9.500095294588894,Pave,Grvl,2,HLS,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,3,1,ALQ,6.570882962339584,Unf,0.0,5.099866427824199,876.0,GasA,5,Y,SBrkr,6.872128101338986,0.0,0.0,6.872128101338986,1.0,0.0,1,0,2,0.6931471805599453,3,5,7,0,None,Detchd,7.561121589530238,1,2.0,432.0,3,3,2,0.0,0.0,3.8066624897703196,0.0,0.0,0,0.0,None,0.0,8,2009,WD ,Normal,12.004574385508691,88,3,1,882.872128101339,2.0,3.8066624897703196,34.36064050669493,0,0,0,1
924,925,909278020,3.9318256327243257,RL,4.007333185232471,8.94663520890585,Pave,None,2,Lvl,AllPub,FR2,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1921,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,6.595780513961311,731.0,GasA,5,Y,SBrkr,6.710523109452428,6.261491684321042,0.0,7.203405521083095,0.0,0.0,1,1,3,0.6931471805599453,3,7,7,1,Gd,Detchd,7.561121589530238,1,1.0,186.0,2,3,2,5.262690188904886,0.0,4.634728988229636,0.0,0.0,0,0.0,None,0.0,7,2009,WD ,Normal,11.950541482162043,88,59,1,738.2034055210831,1.5,4.634728988229636,36.01702760541548,1,0,1,1
925,926,909279010,4.51085950651685,RL,4.2626798770413155,9.005282288208358,Pave,None,2,HLS,AllPub,Corner,2,Crawfor,Norm,Norm,Duplex,2.5Unf,7,6,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,LwQ,5.5093883366279774,Unf,0.0,6.51471269087253,920.0,GasA,5,Y,SBrkr,7.123672785204607,7.123672785204607,0.0,7.816416983691801,0.0,0.0,2,1,5,1.0986122886681098,3,13,7,2,Gd,Detchd,7.57095858316901,1,2.0,400.0,3,3,2,0.0,0.0,4.060443010546419,0.0,0.0,0,0.0,None,0.0,7,2009,WD ,Normal,12.230770136157428,69,59,1,927.8164169836919,2.5,4.060443010546419,54.71491888584261,1,0,1,1
926,927,909282130,3.044522437723423,RL,4.2626798770413155,9.116139576577355,Pave,None,3,Lvl,AllPub,Inside,2,Crawfor,Feedr,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,4,BrkTil,3,3,2,Rec,5.043425116919247,ALQ,6.543911845564792,5.579729825986222,1112.0,GasA,5,Y,SBrkr,7.014814351275545,0.0,0.0,7.014814351275545,1.0,0.0,1,0,2,0.6931471805599453,3,6,7,1,Gd,Attchd,7.578145472419466,1,1.0,390.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,3.0,None,0.0,10,2009,WD ,Family,11.883115664987255,55,55,0,1119.0148143512756,2.0,0.0,35.07407175637773,0,0,1,1
927,928,909425060,4.2626798770413155,RL,4.330733340286331,9.392745258631441,Pave,None,3,Bnk,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,7,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,Rec,5.62040086571715,Unf,0.0,6.063785208687608,704.0,GasA,5,Y,SBrkr,6.7580945044277305,6.558197802812269,0.0,7.355641102974253,0.0,0.0,1,1,3,0.6931471805599453,2,7,7,1,Gd,Attchd,7.571473648851271,1,1.0,234.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,7,2009,WD ,Normal,12.069685751267224,68,59,1,711.3556411029742,1.5,0.0,51.489487720819774,1,0,1,1
928,929,909425130,3.044522437723423,RL,4.51085950651685,9.498522319469615,Pave,None,2,Lvl,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1Story,6,6,1960,1960,Gable,CompShg,HdBoard,Plywood,Stone,4.890349128221754,3,3,CBlock,3,3,1,LwQ,4.189654742026425,BLQ,6.775366090936392,6.432940092739179,1561.0,GasA,3,Y,SBrkr,7.3537223303996315,0.0,0.0,7.3537223303996315,1.0,0.0,2,0,3,0.6931471805599453,3,6,7,1,Gd,Attchd,7.581209826196346,3,2.0,463.0,3,3,2,0.0,5.003946305945459,0.0,0.0,4.795790545596741,0,0.0,None,0.0,5,2009,WD ,Normal,12.170450649220749,49,49,0,1568.3537223303997,3.0,9.7997368515422,44.12233398239779,1,0,1,1
929,930,909426090,3.9318256327243257,RL,4.3694478524670215,9.65509029374725,Pave,None,3,Bnk,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1949,2005,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,3,3,BrkTil,3,3,1,BLQ,5.746203190540153,Rec,6.230481447578482,5.517452896464707,1067.0,GasW,2,N,SBrkr,6.894670039433482,6.2878585601617845,0.0,7.329093736246592,1.0,0.0,2,0,3,0.6931471805599453,2,7,2,1,TA,Attchd,7.575584651557793,1,1.0,295.0,3,3,2,0.0,0.0,4.406719247264253,0.0,0.0,0,0.0,None,0.0,10,2009,WD ,Normal,11.970356641102999,60,4,1,1074.3290937362467,3.0,4.406719247264253,36.64546868123296,0,0,1,1
930,931,909427200,3.044522437723423,RL,4.394449154672439,9.546884034617925,Pave,None,3,Lvl,AllPub,Inside,2,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,2004,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,3,3,1,Unf,0.0,Unf,0.0,6.996681488176539,1092.0,GasA,5,Y,SBrkr,7.050122520269059,0.0,0.0,7.050122520269059,0.0,0.6931471805599453,1,0,3,0.6931471805599453,4,6,7,1,Gd,Attchd,7.576097340623111,1,1.0,300.0,3,3,2,0.0,3.6109179126442243,0.0,0.0,0.0,0,,None,0.0,8,2009,WD ,Family,11.973516181427835,59,5,1,1099.050122520269,1.3465735902799727,3.6109179126442243,42.30073512161435,0,0,1,1
931,932,909428240,3.044522437723423,RL,4.61512051684126,9.770013301136158,Pave,None,3,Bnk,AllPub,Corner,1,Crawfor,PosA,Norm,1Fam,1Story,6,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,6.042632833682381,3,3,PConc,3,3,3,LwQ,6.665683717782408,BLQ,6.077642243349034,4.5217885770490405,1310.0,GasA,5,Y,SBrkr,7.553286605600419,0.0,0.0,7.553286605600419,1.0,0.0,1,1,3,0.6931471805599453,3,6,7,2,Gd,Basment,7.578145472419466,1,2.0,576.0,3,3,2,0.0,5.308267697401205,0.0,0.0,0.0,0,0.0,None,0.0,1,2009,WD ,Normal,12.319405795112926,55,55,0,1317.5532866056003,2.5,5.308267697401205,45.31971963360251,0,0,1,1
932,933,909451040,5.081404364984463,RM,3.2188758248682006,7.458186157340487,Pave,None,3,Lvl,AllPub,Inside,2,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,1980,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,Unf,0.0,Unf,0.0,6.248042874508429,516.0,GasA,3,Y,SBrkr,6.248042874508429,6.248042874508429,0.0,6.940222469119639,0.0,0.0,1,0,2,0.6931471805599453,3,5,7,1,TA,Detchd,7.591357046698551,1,2.0,452.0,3,3,2,5.634789603169249,0.0,0.0,0.0,0.0,0,,None,0.0,5,2009,WD ,Normal,11.652696102959753,29,29,0,522.9402224691196,1.0,0.0,41.64133481471783,1,0,1,1
933,934,909451100,5.081404364984463,RM,3.2188758248682006,7.305860032684009,Pave,None,3,Lvl,AllPub,Inside,2,Blueste,Norm,Norm,TwnhsE,2Story,6,6,1980,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,3,2,ALQ,6.156978985585555,Unf,0.0,4.51085950651685,561.0,GasA,3,Y,SBrkr,6.331501849893691,6.505784060128229,0.0,7.114769448366463,1.0,0.0,1,1,2,0.6931471805599453,4,5,7,1,TA,Attchd,7.591357046698551,3,2.0,462.0,3,3,2,5.176149732573829,0.0,0.0,0.0,0.0,0,,None,0.0,10,2009,WD ,Normal,11.827743504053695,29,17,1,568.1147694483665,2.5,0.0,42.68861669019878,0,0,1,1
